file,blockType,key,legacySection,font,fontStyle,fontSize,bold,italic,legacyFontId,legacyFontComment,knownFontCatalogEntry,needsReview
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.return_to_game,PauseButton6,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiText,game.buttonlayout640.text.pause_menu_text_header_goes_here,PauseText,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiText,game.buttonlayout640.text.text_gets_centered_in_this_box_arialnarrow8_all_caps,VideoTextBox,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiText,game.buttonlayout640.text.text_gets_centered_in_this_box_agencyfb17_all_caps,ResultsTextBox,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiText,game.buttonlayout640.text.text,ChatTextRect,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout800.fit,GuiText,game.buttonlayout800.text.help,HelpText,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout800.fit,GuiButton,game.buttonlayout800.button.default_attack,Button0,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout800.fit,GuiButton,game.buttonlayout800.button.short_range_attack,Button1,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout800.fit,GuiButton,game.buttonlayout800.button.medium_attack,Button2,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout800.fit,GuiButton,game.buttonlayout800.button.l_attack,Button3,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout800.fit,GuiButton,game.buttonlayout800.button.jump,Button4,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout800.fit,GuiButton,game.buttonlayout800.button.run,Button5,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout800.fit,GuiButton,game.buttonlayout800.button.guard,Button6,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout800.fit,GuiButton,game.buttonlayout800.button.fire_from_current_pos,Button7,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout800.fit,GuiButton,game.buttonlayout800.button.stop,Button8,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout800.fit,GuiButton,game.buttonlayout800.button.info,Button9,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout800.fit,GuiButton,game.buttonlayout800.button.objectives,Button10,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout800.fit,GuiButton,game.buttonlayout800.button.pause_window,Button11,Agency Regular,Regular,14,false,false,,,true,false
